,college,program_name,course_title,program_category,course_description,city,state,zip_code,country,residential,application,transcript,letter_of_recommendation,counselor_report,test_scores,toefl_or_english_exam,app_fee,app_date,enrollment_fee,credit_offerred,tuition,start_date,end_date,eligibility_requirements,grades,link
0,Northwestern University,Center for Talent Development,Advanced Grammar & Academic Writing I (6-8) ,English & Language Arts,"This is a 9-week, asynchronous, flexibly paced course within the Online Core Essentials Program. Students should expect 2-5 hours of course work per week.Explore the joys and wonders of grammar! This course offers a unique approach to grammar instruction that builds language and critical thinking skills, and advanced knowledge of grammatical rules and practice. Through engaging writing assignments, students will gain practice in utilizing and analyzing grammatical concepts to help take their writing skills to the next level.",Online,Online,000,United States,No,Yes,Yes,Yes,No,No,Yes,0,0,0,Yes,$635,"November 15, 2023","September 13, 2023 ","
90th percentile or above on a nationally normed, standardized grade-level achievement test, or 
Participation in above-grade-level testing through CTD Assessment (formerly NUMATS) or similar program, or
Successful completion, within the past two years, of a previous CTD course at the same or higher admission tier and in the qualifying subject area, or
Admission portfolio (report card or transcript, teacher recommendation, and test scores, if available). Please note: Admission portfolio option is not available for all age levels in all programs.
",9-12,"https://www.ctd.northwestern.edu/courses?grade_level=471,472,473,474&sort=alpha#1137"
1,Northwestern University,Center for Talent Development,Advanced Grammar (3-5),English & Language Arts,"This is a 9-week, asynchronous, flexibly paced course within the Online Core Essentials Program. Students should expect 2-5 hours of course work per week.Discover the thrill and power of grammar! This course offers a unique approach to grammar instruction where students are introduced to all four levels of traditional grammar, and learn to use correct grammar rules to develop interesting and complex sentences. An array of tools and techniques make grammar come alive, and students learn to wield words and polish their writing skills as they move through assignments and lessons.",Online,Online,000,United States,No,Yes,Yes,Yes,No,No,Yes,0,0,0,Yes,$635,"November 15, 2023","September 13, 2023 ","
90th percentile or above on a nationally normed, standardized grade-level achievement test, or 
Participation in above-grade-level testing through CTD Assessment (formerly NUMATS) or similar program, or
Successful completion, within the past two years, of a previous CTD course at the same or higher admission tier and in the qualifying subject area, or
Admission portfolio (report card or transcript, teacher recommendation, and test scores, if available). Please note: Admission portfolio option is not available for all age levels in all programs.
",9-12,"https://www.ctd.northwestern.edu/courses?grade_level=471,472,473,474&sort=alpha#1136"
2,Northwestern University,Center for Talent Development,Algebra I Honors,Mathematics,"This is a 2 credit equivalent, flexibly paced, asynchronous Honors course within the Online Honors Program. Students can expect 8-10 hours of coursework per week and have 30-34 weeks to complete the course depending on start date.This honors-level, inquiry-based course covers topics which include understanding expressions, equations, and functions, solving inequalities and graphing equations and functions, including quadratics and exponentials. The course emphasizes problem-solving over computation.
This course will prepare students for Geometry Honors and Algebra II/Trigonometry Honors courses.",Online,Online,000,United States,No,Yes,Yes,Yes,No,No,Yes,0,0,0,Yes,$1285,"May 6, 2024","September 6, 2023 ","
95th percentile or above on a nationally normed, standardized grade-level achievement test, or
Participation in above-grade-level testing through CTD Assessment (formerly NUMATS) or similar program, or
Successful completion, within the past two years, of a previous CTD course at the same or higher admission tier and in the qualifying subject area, or 
Admission portfolio (report card or transcript, teacher recommendation, and test scores, if available).  
",9-12,"https://www.ctd.northwestern.edu/courses?grade_level=471,472,473,474&sort=alpha#1119"
3,Northwestern University,Center for Talent Development,Algebra II & Trigonometry Honors,Mathematics,"This is a three-week, 2-credit course within the CTD Academic Summer Camp for Grades 9-12, meeting in-person Monday-Friday from 9am – 3 pm CDT. Algebra II & Trigonometry Honors covers systems, equations, polynomial arithmetic, complex numbers, solutions of quadratic equations, exponential and logarithmic functions, sequences, series, graphs of polynomial functions, conic sections, and concepts in trigonometry, including trigonometric identities. Algebra II & Trigonometry Honors is a full-year course in an accelerated format. 
OFFERED: June 25 – July 14, 2023 & July 16 – August 4, 2023 ",Evanston,IL,000,United States,No,Yes,Yes,Yes,No,No,Yes,0,0,0,Yes,$2660,"August 4, 2023","July 16, 2023 ","
Requisite scores on above-grade-level test through CTD Assessment (formerly NUMATS) or similar program:

	
PSAT 8/9®, SCAT, or I-Excel test taken in grade 5 or 6 (if applying as a 7th or 8th grade student)
ACT® or SAT® test taken in grade 6, 7, 8 or 9, or


Requisite scores on ACT®, SAT®, PreACT®, or PSAT/NMSQT® test taken in grade 10 or 11, or
Successful completion, within the past two years, of a previous CTD Indigo Tier course with the same qualifying subject area criteria, or
Admission portfolio (report card or transcript, teacher recommendation, and test scores, if available).
",9-12,"https://www.ctd.northwestern.edu/courses?grade_level=471,472,473,474&sort=alpha#1078"
4,Northwestern University,Center for Talent Development,Algebra II & Trigonometry Honors,Mathematics,"This is a three-week, 2-credit course within the Grades 6-8 academic camp, meeting in-person Monday-Friday from 9am – 3pm CDT. This course is cross-listed with the Grades 9-12 section.Algebra II & Trigonometry Honors covers systems, equations, polynomial arithmetic, complex numbers, solutions of quadratic equations, exponential and logarithmic functions, sequences, series, graphs of polynomial functions, conic sections, and concepts in trigonometry. Algebra II & Trigonometry Honors is a full-year high school course intended for students who plan to accelerate in their district’s math sequence. ",Evanston,IL,000,United States,No,Yes,Yes,Yes,No,No,Yes,0,0,0,Yes,$2660,"July 14, 2023","June 26, 2023 ","
Requisite scores on above-grade-level test through CTD Assessment (formerly NUMATS) or similar program:

	
PSAT 8/9®, SCAT, or I-Excel test taken in grade 5 or 6 (if applying as a 7th or 8th grade student)
ACT® or SAT® test taken in grade 6, 7, 8 or 9, or


Requisite scores on ACT®, SAT®, PreACT®, or PSAT/NMSQT® test taken in grade 10 or 11, or
Successful completion, within the past two years, of a previous CTD Indigo Tier course with the same qualifying subject area criteria, or
Admission portfolio (report card or transcript, teacher recommendation, and test scores, if available).
",9-12,"https://www.ctd.northwestern.edu/courses?grade_level=471,472,473,474&sort=alpha#1129"
5,Northwestern University,Center for Talent Development,Algebra II/Trigonometry Honors,Mathematics,"This is a 2 credit equivalent, flexibly paced, asynchronous Honors course within the Online Honors Program. Students can expect 6-8 hours of coursework per week and have 30-34 weeks to complete the course depending on start date.This advanced algebra course focuses on inequalities, polynomial equations, rational expressions, complex numbers, exponents, logarithms, statistics, probability, matrices and an introduction to basic trigonometry.",Online,Online,000,United States,No,Yes,Yes,Yes,No,No,Yes,0,0,0,Yes,$1285,"May 6, 2024","September 6, 2023 ","
95th percentile or above on a nationally normed, standardized grade-level achievement test, or
Participation in above-grade-level testing through CTD Assessment (formerly NUMATS) or similar program, or
Successful completion, within the past two years, of a previous CTD course at the same or higher admission tier and in the qualifying subject area, or 
Admission portfolio (report card or transcript, teacher recommendation, and test scores, if available).  
",9-12,"https://www.ctd.northwestern.edu/courses?grade_level=471,472,473,474&sort=alpha#1120"
6,Northwestern University,Center for Talent Development,Animal Adaptations:  Zoology (Gr. 1-2),Science,"This course runs Monday through Friday, July 24 – July 28.In this course, young zoologists investigate amazing animals from around the world, each with astounding physical traits and behaviors that help them survive in their environments. Through research and hands-on activities, students learn about animal classification, a variety of habitats, and the survival methods of animals that live in them. Students are challenged to advance their critical thinking skills as they consider the implications of environmental changes for future generations of species.",Chicago,IL,000,United States,No,Yes,Yes,Yes,No,No,Yes,0,0,0,Yes,$700,"July 28, 2023","July 24, 2023 ",,9-12,"https://www.ctd.northwestern.edu/courses?grade_level=471,472,473,474&sort=alpha#1146"
7,Northwestern University,Center for Talent Development,AP® Calculus BC,Mathematics,"This is a 2 credit equivalent, flexibly paced, asynchronous Advanced Placement course within the Online Advanced Placement (AP®) Program. Students can expect 6-8 hours of coursework per week and have 30-34 weeks to complete the course depending on start date.Modern calculus is the branch of mathematics dealing with limits and the differentiation and integration of functions of one or more variables. AP® Calculus BC includes AB topics such as limits, derivatives, antiderivatives and applications, followed by advanced applications of integration techniques, infinite series, conics, parametric equations, polar coordinates and the calculus of vector-valued functions. This college-level course prepares students for the AP® Calculus BC exam.",Online,Online,000,United States,No,Yes,Yes,Yes,No,No,Yes,0,0,0,Yes,$1300,"May 6, 2024","September 6, 2023 ","
95th percentile or above on a nationally normed, standardized grade-level achievement test, or
Participation in above-grade-level testing through CTD Assessment (formerly NUMATS) or similar program, or
Successful completion, within the past two years, of a previous CTD course at the same or higher admission tier and in the qualifying subject area, or 
Admission portfolio (report card or transcript, teacher recommendation, and test scores, if available).  
",9-12,"https://www.ctd.northwestern.edu/courses?grade_level=471,472,473,474&sort=alpha#1111"
8,Northwestern University,Center for Talent Development,AP® Computer Science A,Technology & Engineering,"This is an online, 2 credit equivalent, flexibly paced Advanced Placement course. Students can expect 6-8 hours of coursework per week and have 30-34 weeks to complete the course depending on start date.This course will prepare students to take the AP® Computer Science A exam. Students will get hands-on experience mastering this introductory college-level course on Java programming. Topics include object-oriented program design, the development and selection of algorithms and data structures to solve problems, and the AP® Java subset, including the standard Java library classes. Learn to apply proper algorithms that utilize Java and to use readable and efficient code to satisfy problem descriptions. Students need a Java compiler for this course. Information on free compilers available online is included in the course syllabus.",Online,Online,000,United States,No,Yes,Yes,Yes,No,No,Yes,0,0,0,Yes,$1300,"May 6, 2024","September 6, 2023 ","
95th percentile or above on a nationally normed, standardized grade-level achievement test, or
Participation in above-grade-level testing through CTD Assessment (formerly NUMATS) or similar program, or
Successful completion, within the past two years, of a previous CTD course at the same or higher admission tier and in the qualifying subject area, or 
Admission portfolio (report card or transcript, teacher recommendation, and test scores, if available).  
",9-12,"https://www.ctd.northwestern.edu/courses?grade_level=471,472,473,474&sort=alpha#1113"
9,Northwestern University,Center for Talent Development,AP® Economics: Macroeconomics,Arts & Humanities,"This is a 1 credit equivalent, flexibly paced, asynchronous Advanced Placement course within the Online Advanced Placement (AP®) Program. Students can expect 8-10 hours of coursework per week and have 13-15 weeks to complete the course depending on start date.This course prepares students for the AP® Economics: Macroeconomics exam. This course addresses the central topics of AP® Macroeconomics including the role of government in the economy, measuring the national economy, fiscal and monetary policy, and international trade. Topics covered in this one semester course include national income accounting, the national income, output, and price level determination. This class explores fiscal actions used by the government to regulate the economy and how the banking system and monetary policy affect the economy. Students will examine the role of international economics in the American economic system.",Online,Online,000,United States,No,Yes,Yes,Yes,No,No,Yes,0,0,0,Yes,$795,"January 11, 2024","September 6, 2023 ","
95th percentile or above on a nationally normed, standardized grade-level achievement test, or
Participation in above-grade-level testing through CTD Assessment (formerly NUMATS) or similar program, or
Successful completion, within the past two years, of a previous CTD course at the same or higher admission tier and in the qualifying subject area, or 
Admission portfolio (report card or transcript, teacher recommendation, and test scores, if available).  
",9-12,"https://www.ctd.northwestern.edu/courses?grade_level=471,472,473,474&sort=alpha#1103"
