,college,program_name,course_title,program_category,course_description,city,state,zip_code,country,residential,application,transcript,letter_of_recommendation,counselor_report,test_scores,toefl_or_english_exam,app_fee,app_date,enrollment_fee,fees,credit_offerred,tuition,start_date,end_date,eligibility_requirements,grades,link
0,Northwestern University,Center for Talent Development,Algebra I Honors,Mathematics,"This is a 2 credit equivalent, flexibly paced, asynchronous Honors course within the Online Honors Program. Students can expect 8-10 hours of coursework per week and have 30-34 weeks to complete the course depending on start date.This honors-level, inquiry-based course covers topics which include understanding expressions, equations, and functions, solving inequalities and graphing equations and functions, including quadratics and exponentials. The course emphasizes problem-solving over computation.
This course will prepare students for Geometry Honors and Algebra II/Trigonometry Honors courses.",Remote,Remote,,United States,No,Yes,Yes,Yes,No,No,Yes,0,09/01/2023,0,,Yes,$1285,09/06/2023,05/06/2024,"
95th percentile or above on a nationally normed, standardized grade-level achievement test, or
Participation in above-grade-level testing through CTD Assessment (formerly NUMATS) or similar program, or
Successful completion, within the past two years, of a previous CTD course at the same or higher admission tier and in the qualifying subject area, or 
Admission portfolio (report card or transcript, teacher recommendation, and test scores, if available).  
",9-12,"https://www.ctd.northwestern.edu/courses?grade_level=471,472,473,474&sort=alpha#1119"
1,Northwestern University,Center for Talent Development,Algebra II/Trigonometry Honors,Mathematics,"This is a 2 credit equivalent, flexibly paced, asynchronous Honors course within the Online Honors Program. Students can expect 6-8 hours of coursework per week and have 30-34 weeks to complete the course depending on start date.This advanced algebra course focuses on inequalities, polynomial equations, rational expressions, complex numbers, exponents, logarithms, statistics, probability, matrices and an introduction to basic trigonometry.",Remote,Remote,,United States,No,Yes,Yes,Yes,No,No,Yes,0,09/01/2023,0,,Yes,$1285,09/06/2023,05/06/2024,"
95th percentile or above on a nationally normed, standardized grade-level achievement test, or
Participation in above-grade-level testing through CTD Assessment (formerly NUMATS) or similar program, or
Successful completion, within the past two years, of a previous CTD course at the same or higher admission tier and in the qualifying subject area, or 
Admission portfolio (report card or transcript, teacher recommendation, and test scores, if available).  
",9-12,"https://www.ctd.northwestern.edu/courses?grade_level=471,472,473,474&sort=alpha#1120"
2,Northwestern University,Center for Talent Development,AP® Calculus BC,Mathematics,"This is a 2 credit equivalent, flexibly paced, asynchronous Advanced Placement course within the Online Advanced Placement (AP®) Program. Students can expect 6-8 hours of coursework per week and have 30-34 weeks to complete the course depending on start date.Modern calculus is the branch of mathematics dealing with limits and the differentiation and integration of functions of one or more variables. AP® Calculus BC includes AB topics such as limits, derivatives, antiderivatives and applications, followed by advanced applications of integration techniques, infinite series, conics, parametric equations, polar coordinates and the calculus of vector-valued functions. This college-level course prepares students for the AP® Calculus BC exam.",Remote,Remote,,United States,No,Yes,Yes,Yes,No,No,Yes,0,09/01/2023,0,,Yes,$1300,09/06/2023,05/06/2024,"
95th percentile or above on a nationally normed, standardized grade-level achievement test, or
Participation in above-grade-level testing through CTD Assessment (formerly NUMATS) or similar program, or
Successful completion, within the past two years, of a previous CTD course at the same or higher admission tier and in the qualifying subject area, or 
Admission portfolio (report card or transcript, teacher recommendation, and test scores, if available).  
",9-12,"https://www.ctd.northwestern.edu/courses?grade_level=471,472,473,474&sort=alpha#1111"
3,Northwestern University,Center for Talent Development,AP® Computer Science A,Technology & Engineering,"This is an online, 2 credit equivalent, flexibly paced Advanced Placement course. Students can expect 6-8 hours of coursework per week and have 30-34 weeks to complete the course depending on start date.This course will prepare students to take the AP® Computer Science A exam. Students will get hands-on experience mastering this introductory college-level course on Java programming. Topics include object-oriented program design, the development and selection of algorithms and data structures to solve problems, and the AP® Java subset, including the standard Java library classes. Learn to apply proper algorithms that utilize Java and to use readable and efficient code to satisfy problem descriptions. Students need a Java compiler for this course. Information on free compilers available online is included in the course syllabus.",Remote,Remote,,United States,No,Yes,Yes,Yes,No,No,Yes,0,09/01/2023,0,,Yes,$1300,09/06/2023,05/06/2024,"
95th percentile or above on a nationally normed, standardized grade-level achievement test, or
Participation in above-grade-level testing through CTD Assessment (formerly NUMATS) or similar program, or
Successful completion, within the past two years, of a previous CTD course at the same or higher admission tier and in the qualifying subject area, or 
Admission portfolio (report card or transcript, teacher recommendation, and test scores, if available).  
",9-12,"https://www.ctd.northwestern.edu/courses?grade_level=471,472,473,474&sort=alpha#1113"
4,Northwestern University,Center for Talent Development,AP® Economics: Macroeconomics,Arts & Humanities,"This is a 1 credit equivalent, flexibly paced, asynchronous Advanced Placement course within the Online Advanced Placement (AP®) Program. Students can expect 8-10 hours of coursework per week and have 13-15 weeks to complete the course depending on start date.This course prepares students for the AP® Economics: Macroeconomics exam. This course addresses the central topics of AP® Macroeconomics including the role of government in the economy, measuring the national economy, fiscal and monetary policy, and international trade. Topics covered in this one semester course include national income accounting, the national income, output, and price level determination. This class explores fiscal actions used by the government to regulate the economy and how the banking system and monetary policy affect the economy. Students will examine the role of international economics in the American economic system.",Remote,Remote,,United States,No,Yes,Yes,Yes,No,No,Yes,0,09/01/2023,0,,Yes,$795,09/06/2023,01/11/2024,"
95th percentile or above on a nationally normed, standardized grade-level achievement test, or
Participation in above-grade-level testing through CTD Assessment (formerly NUMATS) or similar program, or
Successful completion, within the past two years, of a previous CTD course at the same or higher admission tier and in the qualifying subject area, or 
Admission portfolio (report card or transcript, teacher recommendation, and test scores, if available).  
",9-12,"https://www.ctd.northwestern.edu/courses?grade_level=471,472,473,474&sort=alpha#1103"
5,Northwestern University,Center for Talent Development,AP® Economics: Microeconomics,Arts & Humanities,"This is a 1 credit equivalent, flexibly paced, asynchronous Advanced Placement course within the Online Advanced Placement (AP®) Program. Students can expect 6-8 hours of coursework per week and have 14-18 weeks to complete the course depending on start date.This course prepares students for the AP® Economics: Microeconomics exam. This course addresses the central topics of AP® Microeconomics including supply and demand, the theory of the firm, perfect and imperfect competition, and the role of the factors of production in free and mixed economies. Topics covered in this one credit course include basic economic concepts and the theory of the firm and various forms of imperfect competition. This class investigates the nature of the factor market and the role of government in the American economy.",Remote,Remote,,United States,No,Yes,Yes,Yes,No,No,Yes,0,09/01/2023,0,,Yes,$795,09/06/2023,01/11/2024,"
95th percentile or above on a nationally normed, standardized grade-level achievement test, or
Participation in above-grade-level testing through CTD Assessment (formerly NUMATS) or similar program, or
Successful completion, within the past two years, of a previous CTD course at the same or higher admission tier and in the qualifying subject area, or 
Admission portfolio (report card or transcript, teacher recommendation, and test scores, if available).  
",9-12,"https://www.ctd.northwestern.edu/courses?grade_level=471,472,473,474&sort=alpha#1102"
6,Northwestern University,Center for Talent Development,AP® English Language & Composition,English & Language Arts,"This is a 2 credit equivalent, flexibly paced, asynchronous Advanced Placement course within the Online Advanced Placement (AP®) Program. Students can expect 6-8 hours of coursework per week and have 30-34 weeks to complete the course depending on start date.This course prepares students to take the AP® English Language & Composition exam by focusing on the skills that are necessary to understand, evaluate, and critique analytical arguments. Students will read a wide array of fiction and non-fiction to strengthen critical literacy skills and higher-order thinking. Expository, analytical, and argumentative writing skills that form the basis of effective communication are emphasized.",Remote,Remote,,United States,No,Yes,Yes,Yes,No,No,Yes,0,09/01/2023,0,,Yes,$1300,09/06/2023,05/06/2024,"
95th percentile or above on a nationally normed, standardized grade-level achievement test, or
Participation in above-grade-level testing through CTD Assessment (formerly NUMATS) or similar program, or
Successful completion, within the past two years, of a previous CTD course at the same or higher admission tier and in the qualifying subject area, or 
Admission portfolio (report card or transcript, teacher recommendation, and test scores, if available).  
",9-12,"https://www.ctd.northwestern.edu/courses?grade_level=471,472,473,474&sort=alpha#1109"
7,Northwestern University,Center for Talent Development,AP® European History,Arts & Humanities,"This is a 2 credit equivalent, flexibly paced, asynchronous Advanced Placement course within the Online Advanced Placement (AP®) Program. Students can expect 6-8 hours of coursework per week and have 30-34 weeks to complete the course depending on start date.Students will use primary sources and works of art and literature to develop and sharpen the skills necessary for effectively analyzing, interpreting, and evaluating historical materials from the western hemisphere. This course examines the origins and evolution of the values that shape the present world politically, socially, intellectually, and culturally from 1450 to the present day. Topics covered include the foundations of European institutions, the Renaissance and Reformation, and the Conflicts and Transformation of the Cold War. This course will prepare students to take the AP® European History exam.",Remote,Remote,,United States,No,Yes,Yes,Yes,No,No,Yes,0,09/01/2023,0,,Yes,$1300,09/06/2023,05/06/2024,"
95th percentile or above on a nationally normed, standardized grade-level achievement test, or
Participation in above-grade-level testing through CTD Assessment (formerly NUMATS) or similar program, or
Successful completion, within the past two years, of a previous CTD course at the same or higher admission tier and in the qualifying subject area, or 
Admission portfolio (report card or transcript, teacher recommendation, and test scores, if available).  
",9-12,"https://www.ctd.northwestern.edu/courses?grade_level=471,472,473,474&sort=alpha#1115"
8,Northwestern University,Center for Talent Development,AP® Government & Politics: Comparative,Arts & Humanities,"This is a 1 credit equivalent, flexibly paced, asynchronous Advanced Placement course within the Online Advanced Placement (AP®) Program. Students can expect 6-8 hours of coursework per week and have 14-18 weeks to complete the course depending on start date.This course prepares students for the AP® Government: Comparative exam. Students will explore comparative politics by studying patterns of behavior and consequences in the political frameworks of other nations. This course aims to illustrate the rich diversity of political life, show available institutional alternatives, explain differences in processes and policy outcomes, and communicate the importance of global political and economic changes. Countries included in our analysis are China, Great Britain, Mexico, Nigeria, Russia, and Iran. ",Remote,Remote,,United States,No,Yes,Yes,Yes,No,No,Yes,0,09/01/2023,0,,Yes,$795,09/06/2023,01/11/2024,"
95th percentile or above on a nationally normed, standardized grade-level achievement test, or
Participation in above-grade-level testing through CTD Assessment (formerly NUMATS) or similar program, or
Successful completion, within the past two years, of a previous CTD course at the same or higher admission tier and in the qualifying subject area, or 
Admission portfolio (report card or transcript, teacher recommendation, and test scores, if available).  
",9-12,"https://www.ctd.northwestern.edu/courses?grade_level=471,472,473,474&sort=alpha#1101"
9,Northwestern University,Center for Talent Development,AP® Human Geography,Arts & Humanities,"This is a 2 credit equivalent, flexibly paced, asynchronous Advanced Placement course within the Online Advanced Placement (AP®) Program. Students can expect 6-8 hours of coursework per week and have 30-34 weeks to complete the course depending on start date.Geography generally focuses on the question of “Where?” Human geography tries to answer the question, “Why there?”",Remote,Remote,,United States,No,Yes,Yes,Yes,No,No,Yes,0,09/01/2023,0,,Yes,$1300,09/06/2023,05/06/2024,"
95th percentile or above on a nationally normed, standardized grade-level achievement test, or
Participation in above-grade-level testing through CTD Assessment (formerly NUMATS) or similar program, or
Successful completion, within the past two years, of a previous CTD course at the same or higher admission tier and in the qualifying subject area, or 
Admission portfolio (report card or transcript, teacher recommendation, and test scores, if available).  
",9-12,"https://www.ctd.northwestern.edu/courses?grade_level=471,472,473,474&sort=alpha#1114"
